"","homeGame","opposition","goalsScored","goalsConceded","pts","possession","oppClass","shotsTotal","shotsTarget","corners","dribblesWon","clust","tackles","passSucces"
"1",1,"Rayo Vallecano",3,1,3,53.91,3,19,7,6,15,5,33,73.85
"2",1,"Deportivo",2,0,3,67.96,3,12,7,2,21,5,44,87.21
"3",0,"Real Madrid",1,2,0,63.91,1,5,2,1,5,1,20,82.01
"4",1,"Sevilla",2,1,3,63.28,2,17,3,10,15,3,24,82.33
"5",0,"Granada",2,1,3,66.29,3,18,6,1,23,4,29,79.03
"6",1,"Getafe",6,1,3,70.24,3,17,9,4,25,5,25,85.35
"7",0,"Valencia",1,1,1,62.9,2,10,2,5,13,2,30,79.33
"8",0,"Espanyol",2,0,3,64.21,3,10,4,5,11,4,33,77.14
"9",1,"Osasuna",5,1,3,71.44,3,19,9,8,11,5,17,86.21
"10",0,"Real Sociedad",2,3,0,62.02,2,8,3,6,13,2,20,79.72
"11",1,"Malaga",4,1,3,64.51,3,10,6,9,6,5,42,84.26
"12",0,"Malaga",3,1,3,57.21,3,12,4,5,11,4,29,82.86
"13",1,"Espanyol",4,0,3,71.82,3,19,8,7,21,5,31,85.02
"14",0,"Valladolid",3,1,3,60.38,3,11,5,4,13,4,24,81.23
"15",1,"Atletico",4,1,3,72.27,1,11,6,9,17,1,19,87.69
"16",0,"Real Betis",2,1,3,60.84,3,13,8,5,8,4,19,79.72
"17",1,"Athletic Club",5,1,3,53.56,2,19,10,3,13,3,25,82.7
"18",1,"Zaragoza",3,1,3,61.96,3,8,3,5,10,5,13,87.42
"19",0,"Mallorca",4,2,3,72.13,3,12,5,6,9,4,22,85.75
"20",1,"Celta Vigo",3,1,3,66.38,3,12,6,4,9,5,22,88.41
"21",0,"Rayo Vallecano",5,0,3,55.42,3,15,10,4,10,4,26,76.65
"22",1,"Valladolid",2,1,3,69.62,3,16,4,14,16,5,23,87.93
"23",0,"Deportivo",5,4,3,60.97,3,10,6,1,12,4,20,82.7
"24",1,"Real Madrid",2,2,1,64.56,1,10,2,7,9,1,22,84.6
"25",0,"Sevilla",3,2,3,68.65,2,15,7,7,14,2,28,83.78
"26",1,"Granada",2,0,3,69.32,3,20,11,14,10,5,31,83.91
"27",0,"Getafe",4,1,3,59.56,3,15,9,7,9,4,21,79.47
"28",1,"Valencia",1,0,3,61.33,2,14,5,4,14,3,21,81.74
"29",0,"Osasuna",2,1,3,63.15,3,15,10,7,9,4,21,71.76
"30",1,"Real Sociedad",5,1,3,65.99,2,18,10,9,10,3,16,84.98
"31",0,"Atletico",2,1,3,56.29,1,11,3,2,11,1,30,84.69
"32",1,"Real Betis",4,2,3,68.41,3,19,10,7,12,5,19,85.22
"33",0,"Athletic Club",2,2,1,54.78,2,15,6,1,17,2,32,73.97
"34",1,"Levante",1,0,3,75.41,3,18,9,11,12,5,23,90.08
"35",0,"Zaragoza",3,0,3,59.92,3,11,6,7,11,4,33,78.24
"36",0,"Levante",4,0,3,73.51,3,13,7,8,12,4,17,86.82
"37",1,"Mallorca",5,0,3,69.23,3,22,9,5,8,5,21,88.31
"38",0,"Celta Vigo",2,2,1,68.21,3,8,3,9,11,4,32,79.86
"39",0,"Real Madrid",4,3,3,64.34,1,18,6,5,16,1,31,85.52
"40",1,"Osasuna",7,0,3,65.86,3,20,11,3,10,5,16,83.78
"41",0,"Valladolid",0,1,0,66.89,3,13,6,3,12,4,31,82.07
"42",1,"Almeria",4,1,3,68.26,3,29,11,13,15,5,21,86.64
"43",0,"Real Sociedad",1,3,0,61.46,2,12,3,13,6,2,23,73.33
"44",1,"Rayo Vallecano",6,0,3,54.97,3,21,10,12,16,5,33,78.73
"45",0,"Sevilla",4,1,3,57.57,2,9,5,0,18,2,20,79.62
"46",1,"Valencia",2,3,0,60,2,20,5,9,12,3,18,84.82
"47",1,"Malaga",3,0,3,64.68,3,23,10,15,24,5,25,82.66
"48",0,"Levante",1,1,1,71.45,3,17,6,8,13,4,19,82.29
"49",0,"Atletico",0,0,1,61.61,1,9,2,6,11,1,41,74.96
"50",1,"Elche",4,0,3,58.34,3,13,6,1,12,5,27,81.91
"51",0,"Elche",0,0,1,64.89,3,20,6,11,9,4,20,83.91
"52",0,"Getafe",5,2,3,63.72,3,14,7,1,11,4,30,78.98
