"against","games","W","D","L","gScored","gCons","possession","passSucces","totalShots","shotsTarget"
"Rayo Vallecano",8,8,0,0,4.5,0.62,53.58,74.78,17.5,8.88
"Deportivo",8,5,2,1,3.5,1.25,65.81,84.88,16.25,7
"Real Madrid",10,5,2,3,2.1,1.7,59.24,79.88,13.6,4.7
"Sevilla",10,8,1,1,2.7,1.3,60.98,80.2,16.7,7.3
"Granada",10,9,0,1,2.9,0.4,65.19,80.63,18.5,9.1
"Getafe",8,6,2,0,3.88,0.75,67.47,83.49,17.62,7.75
"Valencia",10,6,2,2,1.9,1.3,64.89,81.2,16.7,6.1
"Espanyol",10,9,1,0,2.7,0.2,67.41,81.44,14.7,6.2
"Osasuna",6,5,1,0,4,0.5,71.62,83.05,17,8
"Real Sociedad",10,5,1,4,2.2,1.3,61.45,78.65,14.3,6
"Malaga",10,6,2,2,1.4,0.6,66.75,81.61,15.5,6.5
"Valladolid",4,3,0,1,2.25,1,66.32,84.92,15.25,5.75
"Atletico Madrid",10,7,3,0,1.8,0.8,65.3,80.42,13,4.9
"Real Betis",8,7,1,0,3.25,1,64.39,78.03,15.25,7.12
"Atletic Bilbao",10,8,1,1,2.7,0.7,60.2,76.84,15.4,6.5
"Zaragoza",2,2,0,0,3,0.5,60.94,82.83,9.5,4.5
"Mallorca",2,2,0,0,4.5,1,70.68,87.03,17,7
"Celta Vigo",10,6,1,3,2.7,1.3,62.69,78.45,15.5,6.6
"Levante",8,7,1,0,3.62,0.25,70.29,84,17.12,8.12
"Almeria",4,4,0,0,3,0.5,66.76,84.19,20.25,8.25
"Elche",4,3,1,0,3.25,0,63.56,84.3,14,6.5
"Villarreal",8,6,2,0,2.38,1.12,66.61,82.55,17,6.75
"Cordoba",2,2,0,0,6.5,0,69.68,84.08,21.5,10
"Eibar",6,6,0,0,3.33,0.5,66.79,79.63,15.83,7.67
"Sporting Gijon",4,4,0,0,5,0.5,69.21,82.77,19.75,8.75
"Las Palmas",4,4,0,0,3.25,0.75,59.08,81.88,15.75,7
"Alaves",2,1,0,1,3.5,1,72.5,85.47,18.5,5.5
"Leganes",2,2,0,0,3.5,1,67.5,81.31,11.5,6.5
